index,text,kontext,klassifikation.tore_bayern,klassifikation.tore_gegner,klassifikation.phase,meta.saison,meta.spieltag,meta.heim_auswaerts,meta.gegner,meta.tabelle,meta.ballbesitz_bayern,ergebnis.bayern,ergebnis.gegner,offizielle.schiedsrichter,offizielle.kommentator,source_file,sentiment__fine_tuned_german_sentiment,sentiment__fine_tuned_german_sentiment__conf,sentiment__xlm-roberta-base,sentiment__xlm-roberta-base__conf,sentiment__german-sentiment-bert,sentiment__german-sentiment-bert__conf,sentiment__german-news-sentiment-bert,sentiment__german-news-sentiment-bert__conf
11,Erstes Tor seit fast zwei Jahren für den Franzosen.,FC Bayern München,1,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.8967,Positiv,0.5454,Neutral,1.0,Neutral,0.954
12,Das Imperium schlägt zurück.,FC Bayern München,1,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9456,Negativ,0.5173,Neutral,0.9989,Neutral,0.8324
13,"Vierter Treffer nach Ecke, achter nach Standardsituation für seine Borussia.",Neutral,1,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Negativ,0.9161,Neutral,0.8941,Neutral,0.9999,Neutral,0.9591
14,"Schon das siebte Gegentor nach ruhendem Ball, das nervt.",Neutral,1,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Neutral,0.9738,Neutral,0.9087,Negativ,0.955,Negativ,0.9363
15,"Angeschlagene Münchner, gefährliche Münchner im Bayern-Mittelfeld.",FC Bayern München,1,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.8939,Positiv,0.5111,Neutral,0.996,Neutral,0.519
16,Die Premiere für Konrad Laimer.,FC Bayern München,1,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.8792,Positiv,0.5006,Neutral,0.9639,Neutral,0.4928
17,"Goretzka hier, der mit Schiene spielt.",FC Bayern München,1,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9095,Positiv,0.5991,Neutral,0.9996,Neutral,0.9321
18,"Musiala früh präsent, wie fast alle Münchner.",FC Bayern München,1,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.7394,Positiv,0.5247,Negativ,0.584,Positiv,0.5516
19,"Rechts Kingsley Coman, da ist Raum.",FC Bayern München,1,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.8299,Positiv,0.5161,Neutral,0.7826,Neutral,0.4279
20,"6. Minute, Torgefahr aus der Ferne, noch eine bayerische Spezialität.",FC Bayern München,1,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9452,Positiv,0.5586,Neutral,0.9999,Neutral,0.7967
21,"Startphase vermasselt, 0:1 hinten der BVB.",Borussia Dortmund,1,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.7585,Positiv,0.6174,Neutral,0.9864,Negativ,0.8197
22,"Schlotterbeck ungestüm, Ryerson im Gegenpressing gegen Coman.",Neutral,1,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Neutral,0.9826,Neutral,0.9372,Neutral,1.0,Neutral,0.6599
23,"Ballrückeroberung, der BVB offensiv wild, zu wild.",Borussia Dortmund,1,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9129,Positiv,0.6246,Neutral,0.9999,Negativ,0.4536
24,Ball schon wieder weg.,Borussia Dortmund,1,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Neutral,0.4931,Negativ,0.5321,Negativ,0.9406,Negativ,0.8865
25,"Upamecano, Goretzka, Davies, Sané, freie Bahn für Leon Goretzka, einer mit Füßchen für Umschaltmomente und solche Pässe.",FC Bayern München,1,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9275,Positiv,0.5777,Neutral,1.0,Neutral,0.9129
26,"Sané gegen Hummels, in der Mitte Harry Kane.",Neutral,1,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Neutral,0.9716,Neutral,0.8854,Neutral,0.9975,Neutral,0.8963
27,"Neunte Minute, so früh schon das 2:0 für den im Pokal und beim Personal so ramponierten Rekordmeister.",FC Bayern München,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9092,Positiv,0.6625,Neutral,0.9995,Negativ,0.6553
28,Sané schon früh Impulsgeber für diesen Bilderbuch-Konter.,FC Bayern München,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9415,Negativ,0.5118,Neutral,0.9997,Neutral,0.9243
29,"Die Bayern, Gedanken und Handlung schneller, sie lassen Schwieriges ganz leicht aussehen.",FC Bayern München,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9448,Positiv,0.5199,Neutral,0.991,Neutral,0.5041
30,"Sané gegen Hummels, ein ungleiches Duell, und Kane, der fast immer trifft.",Neutral,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Neutral,0.9663,Neutral,0.883,Neutral,1.0,Neutral,0.919
31,"15. Tor insgesamt, 13 in der Liga.",FC Bayern München,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9081,Positiv,0.6622,Positiv,0.845,Positiv,0.9119
32,Der BVB liegt am Boden.,Borussia Dortmund,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9537,Negativ,0.504,Neutral,0.9893,Neutral,0.4433
33,"Fünftes Tor im fünften Vergleich, das passt.",Neutral,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Neutral,0.9149,Neutral,0.8886,Positiv,0.9837,Positiv,0.9867
34,"Sané 2:0, zweite Vorlage.",FC Bayern München,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9495,Positiv,0.5965,Neutral,0.9936,Neutral,0.8538
35,"Augen auf Thomas Tuchel, das Glücksgefühl nach der Pokal-Peinlichkeit.",FC Bayern München,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9543,Positiv,0.6474,Neutral,0.9999,Neutral,0.9124
36,"Und wie vor gut einem Jahr 0:2 hinten, damals am Ende 2:2.",Neutral,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Negativ,0.9185,Neutral,0.8898,Neutral,0.9883,Positiv,0.821
37,Aktuell muss der Ärger noch raus.,Neutral,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Neutral,0.9557,Neutral,0.8286,Negativ,0.5067,Negativ,0.4814
38,"Meister und Vizemeister in der Bundesliga bislang beide unbesiegt, so wie sonst nur der Klassenstreber aus Leverkusen.",Neutral,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Neutral,0.9581,Neutral,0.8969,Neutral,1.0,Neutral,0.9383
39,"Marco Reus, Julian Ryerson, der wagt sich mal in den Zweikampf gegen Mazraoui.",Borussia Dortmund,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Negativ,0.6617,Positiv,0.6547,Neutral,0.9535,Neutral,0.4406
40,"Ein erster Torschuss für den Herausforderer, 12. Minute.",Borussia Dortmund,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Negativ,0.921,Positiv,0.6293,Neutral,0.9936,Neutral,0.4465
41,"Sechs mehr Erfolg heute, noch kein Dortmunder Erfolgsmotto.",Borussia Dortmund,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9021,Positiv,0.5493,Neutral,0.9951,Negativ,0.4853
42,Für Dortmund heute das erste Aufeinandertreffen mit einem Top-5-Club der Bundesliga.,Borussia Dortmund,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9721,Positiv,0.6364,Neutral,1.0,Neutral,0.9727
43,Bis hierhin die Bayern besser.,FC Bayern München,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9295,Positiv,0.5107,Negativ,0.9384,Negativ,0.7364
44,"Malen kommt vorbei an Upamecano, und der hat ja Tempo.",Neutral,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Neutral,0.9537,Neutral,0.8621,Neutral,0.9987,Neutral,0.9303
45,"Malen, Endstation Kimmich.",Neutral,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Neutral,0.9586,Neutral,0.8873,Negativ,0.7178,Positiv,0.3345
46,"Ballbesitz und Tempo, zwei bayerische Vorteile.",FC Bayern München,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.96,Negativ,0.4946,Neutral,1.0,Neutral,0.9785
47,"Özcan gegen Sané, kein Foul, und dann Sané gegen Reus.",Neutral,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Neutral,0.9702,Neutral,0.895,Neutral,0.9974,Neutral,0.6695
48,"Schiedsrichter Deniz Aytekin, kein Bayer, sondern ein Franke, darauf liegt der Wert.",Neutral,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Neutral,0.9422,Neutral,0.928,Neutral,0.9999,Neutral,0.9619
49,"22. Minute, er zückt gleich die erste Gelbe Karte.",Neutral,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Neutral,0.9494,Neutral,0.8909,Neutral,0.9963,Neutral,0.8822
50,"Zuerst gefoult von Can, das lässt Aytekin durchgehen, wird vom Opfer zum Täter und sieht Gelb.",Neutral,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Neutral,0.9753,Neutral,0.8494,Neutral,0.9998,Neutral,0.9079
51,An der Seitenlinie hat Tuchel Redebedarf.,FC Bayern München,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.7615,Negativ,0.5238,Neutral,0.9968,Neutral,0.7762
52,"Der Job vom vierten Offiziellen, Dr. Matthias Jöllenbeck, Gemüter beruhigen.",Neutral,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Negativ,0.8883,Neutral,0.9233,Neutral,1.0,Neutral,0.9716
53,Die Borussia verlor acht der letzten neun Vergleiche mit den Bayern.,Borussia Dortmund,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9688,Positiv,0.6434,Neutral,1.0,Neutral,0.9979
54,Der letzte Sieg liegt schon 5 Jahre zurück.,Borussia Dortmund,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9196,Negativ,0.5173,Neutral,0.9723,Neutral,0.4536
55,Zweimaliger Torschütze damals: Marco Reus.,Borussia Dortmund,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.909,Positiv,0.617,Neutral,1.0,Neutral,0.9355
56,"Malen, wenigstens ein Dortmunder mit Speed, öffnet die Räume, schafft Tiefe.",Borussia Dortmund,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Negativ,0.787,Positiv,0.5443,Neutral,0.984,Neutral,0.4605
57,"Marius Wolf, heute sein 400. Bundesligaspiel.",Borussia Dortmund,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9053,Positiv,0.6345,Neutral,0.9904,Neutral,0.8105
58,"Mehr als 30 Minuten rum, der BVB bislang nur Sparringspartner.",Borussia Dortmund,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9218,Positiv,0.5181,Neutral,1.0,Negativ,0.4825
59,"Hummels, Schlotterbeck, Hummels und Hummels und sie tappen in die Pressingfalle.",Borussia Dortmund,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9631,Positiv,0.5885,Neutral,1.0,Neutral,0.9571
60,"Laimer defensiv stark gegen Schlotterbeck, individuell und kollektiv.",Neutral,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Neutral,0.945,Neutral,0.9303,Neutral,0.9998,Neutral,0.9165
61,Münchner Dominanz.,FC Bayern München,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9322,Positiv,0.5043,Neutral,0.9714,Neutral,0.5833
62,"Harry Kane, Pfosten, und dann der Pfiff.",FC Bayern München,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.935,Positiv,0.5919,Neutral,0.9999,Neutral,0.9489
63,"Eduard Beitinger erhebt Einspruch, Abseits.",Neutral,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Neutral,0.8556,Neutral,0.8986,Neutral,1.0,Neutral,0.9989
64,Die Zeitlupe kann den Assistenten zumindest nicht eindeutig widerlegen.,Neutral,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Neutral,0.9524,Neutral,0.7924,Neutral,1.0,Neutral,0.9835
65,"Im Saarland die zweite Saisonniederlage nach dem Supercup, der zweite Titel abhanden gekommen.",Neutral,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Neutral,0.7231,Neutral,0.9211,Neutral,1.0,Neutral,0.9894
66,Viele prognostizierten den Bayern eine fiese Herbstkrise samt Trainerfrage.,FC Bayern München,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Negativ,0.5596,Positiv,0.5402,Neutral,0.9999,Negativ,0.4977
67,Die Antwort bisher beeindruckend.,FC Bayern München,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9538,Negativ,0.5089,Positiv,0.9822,Positiv,0.9864
68,Kane sucht und findet Leon Goretzka.,FC Bayern München,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Negativ,0.568,Positiv,0.5153,Negativ,0.4771,Positiv,0.8927
69,Das hatte Traumtorpotenzial.,FC Bayern München,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.8825,Negativ,0.5239,Neutral,0.9999,Neutral,0.9547
70,"38. Minute, Goretzka überzeugt.",FC Bayern München,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9515,Positiv,0.6345,Neutral,0.9595,Positiv,0.875
71,Zwei Wochen nach Bruch der linken Mittelhand.,FC Bayern München,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9551,Positiv,0.519,Neutral,0.9998,Neutral,0.8193
72,"Heute bis hierhin wenig zu feiern, aber immer sinnvolle Tipps in petto.",FC Bayern München,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9458,Positiv,0.5253,Neutral,0.9655,Neutral,0.5514
73,Nein zur Champions-League-Form.,Neutral,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Neutral,0.9119,Neutral,0.9319,Negativ,0.7405,Neutral,0.3847
74,"Der Aufruf auf der Südtribüne: Noch mehr Spiele, noch weniger Wettbewerb.",Neutral,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Neutral,0.8803,Neutral,0.8877,Neutral,0.9964,Neutral,0.8955
75,"Die berechtigte Frage: Weiter, immer weiter die Rot-Weißen und immer wieder Ballbesitzphasen, tief auch in der Dortmunder Hälfte.",FC Bayern München,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9644,Positiv,0.6707,Neutral,0.9998,Neutral,0.555
76,"Laimer, Mazraoui, Mazraoui und Goretzka, das ist die Gelegenheit mit Matchball-Potenzial.",FC Bayern München,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Negativ,0.6119,Positiv,0.625,Negativ,0.5478,Neutral,0.4127
77,"Hummels blockt Leon Goretzka, heute immer und überall spielprägend.",Neutral,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Neutral,0.9859,Neutral,0.9177,Neutral,0.973,Positiv,0.5265
78,Kurz vor der Pause Aytekin auf dem Weg zu Thomas Tuchel.,FC Bayern München,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9163,Positiv,0.594,Neutral,0.9991,Neutral,0.9153
79,Der Bayern-Trainer mosert ihm zu häufig und zu auffällig.,FC Bayern München,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.8758,Positiv,0.5821,Neutral,1.0,Neutral,0.9336
80,"Gelb, völlig richtig.",FC Bayern München,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9473,Negativ,0.5102,Positiv,0.9656,Positiv,0.9621
81,"Die dritte, bei der nächsten wäre er ein Spiel gesperrt.",FC Bayern München,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Negativ,0.9264,Positiv,0.5288,Neutral,0.9996,Neutral,0.8174
82,Die BVB-Gesichter zum Gipfeltreffen: Hier Watzke und Sammer.,Borussia Dortmund,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9669,Positiv,0.5795,Neutral,1.0,Neutral,0.8876
83,Nachspielzeit erste Hälfte.,Neutral,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Neutral,0.9404,Neutral,0.8286,Neutral,0.9981,Neutral,0.9449
84,Die Borussia 45 Minuten lang nicht auf Augenhöhe mit den Bayern.,Borussia Dortmund,2,0,1,23/24,10,Auswärts,Borussia Dortmund,2,0.51,4,0,Deniz Aytekin,Oliver Schmidt,23-24_S10_borussia_dortmund.json,Positiv,0.9285,Positiv,0.6123,Neutral,0.9995,Neutral,0.9225
